name,pname,ra,dec,dist,vmag
HR 6453,,17.36682891,-24.99948797,563.32,3.27
HR 8709,,22.91084423,-15.82075994,159.57,3.27
HR 1702,,5.2155203,-16.20542901,184.38,3.29
HR 4037,,10.22896636,-70.03792169,370.22,3.29
HR 5744,,15.41549558,58.96602354,102.18,3.29
HR 1465,,4.56658845,-55.04500559,175.73,3.3
HR 4140,,10.5337455,-61.68536031,497.2,3.3
HR 2216,,6.2479713,22.50682376,349.21,3.31
HR 6462,,17.42323884,-56.37768824,1136.46,3.31
HR 322,,1.10141847,-46.71849042,198.16,3.32
HR 921,,3.08624916,38.84053298,325.19,3.32
HR 4660,,12.25706919,57.03259792,81.44,3.32
HR 6380,,17.20254886,-43.23849039,71.59,3.32
HR 6698,,17.9837771,-9.77334973,152.77,3.32
HR 7234,,19.11567841,-27.66981416,120.4,3.32
HR 1336,,4.24039753,-62.47397888,163.24,3.33
HR 4359,,11.23734469,15.4297631,177.65,3.33
HR 3045,,7.82157187,-24.85978401,1347.78,3.34
HR 542,,1.90657873,63.67014686,441.96,3.35
HR 1788,,5.40794918,-2.39713844,901,3.35
HR 2484,,6.75484265,12.89605513,57.2,3.35
HR 3323,,8.50445282,60.7184311,183.65,3.35
HR 7377,,19.42493129,3.11457923,50.14,3.36
HR 5708,,15.37802431,-44.68957314,504.12,3.37
HR 3482,,8.77962395,6.41890691,135.17,3.38
HR 5107,,13.5782652,-0.59593821,73.21,3.38
HR 1879,,5.58563269,9.93416294,1055.54,3.39
HR 4050,,10.28472369,-61.33231977,736.26,3.39
HR 4910,,12.92680091,3.39759862,202.46,3.39
HR 8465,,22.18090608,58.20124992,726.42,3.39
HR 1412,,4.47768747,15.8709468,149,3.4
HR 429,,1.47276157,-43.31772906,233.98,3.41
HR 1239,,4.01133906,12.49037571,370.22,3.41
HR 5190,,13.82508261,-41.68765971,474.76,3.41
HR 5649,,15.20477865,-52.09907465,116.24,3.41
HR 7957,,20.75479684,61.83679404,46.78,3.41
HR 8634,,22.69102078,10.83139111,208.54,3.41
HR 544,,1.88469439,29.57939727,64.12,3.42
HR 5948,,16.00203902,-38.39664079,493.44,3.42
HR 6623,,17.77436636,27.72249917,27.4,3.42
HR 7913,,20.74932102,-66.20323826,137.56,3.42
HR 3659,,9.18280702,-58.96693014,418.69,3.43
HR 4031,,10.27816787,23.4173284,259.68,3.43
HR 7236,,19.10415275,-4.88233456,125.21,3.43
HR 4033,,10.2849797,42.91446855,134.39,3.45
